,REF_DATE,Admissions,Correctional_services,Corrections,Geography,Population,Youth_corrections_per_1000_population
227,2005,Youth admissions,Secure custody,117.0,Saskatchewan,994892,0.11760070439806532
228,2005,Youth admissions,Custody and supervision (secure),117.0,Saskatchewan,994892,0.11760070439806532
229,2005,Youth admissions,Open custody,159.0,Saskatchewan,994892,0.1598163418742939
230,2005,Youth admissions,Custody and supervision (open),159.0,Saskatchewan,994892,0.1598163418742939
231,2005,Youth admissions,Community Portion of Custody Supervision,124.0,Saskatchewan,994892,0.12463664397743675
232,2005,Youth admissions,Deferred custody and supervision,159.0,Saskatchewan,994892,0.1598163418742939
233,2005,Youth admissions,Supervised probation,1215.0,Saskatchewan,994892,1.2212380841337551
234,2005,Youth admissions,Pre-trial detention,1797.0,Alberta,3296271,0.5451614870257937
235,2005,Youth admissions,Secure custody,231.0,Alberta,3296271,0.07007918948411705
236,2005,Youth admissions,Custody and supervision (secure),231.0,Alberta,3296271,0.07007918948411705
237,2005,Youth admissions,Open custody,67.0,Alberta,3296271,0.020325998681540444
238,2005,Youth admissions,Custody and supervision (open),67.0,Alberta,3296271,0.020325998681540444
239,2005,Youth admissions,Community Portion of Custody Supervision,505.0,Alberta,3296271,0.15320342289817795
240,2005,Youth admissions,Intensive support and supervision,13.0,Alberta,3296271,0.003943850490448146
241,2005,Youth admissions,Deferred custody and supervision,205.0,Alberta,3296271,0.06219148850322076
242,2005,Youth admissions,Supervised probation,1789.0,Alberta,3296271,0.5427345021085949
243,2005,Youth admissions,Other community sentences,1395.0,Alberta,3296271,0.423205494936551
244,2005,Youth admissions,Pre-trial detention,1290.0,British Columbia,4182963,0.30839383470520776
245,2005,Youth admissions,Secure custody,285.0,British Columbia,4182963,0.068133521620918
246,2005,Youth admissions,Custody and supervision (secure),285.0,British Columbia,4182963,0.068133521620918
247,2005,Youth admissions,Young Offenders Act (YOA) (secure),0.0,British Columbia,4182963,0.0
248,2005,Youth admissions,Open custody,217.0,British Columbia,4182963,0.051877102427155104
249,2005,Youth admissions,Custody and supervision (open),217.0,British Columbia,4182963,0.051877102427155104
250,2005,Youth admissions,Supervised probation,1520.0,British Columbia,4182963,0.3633787819782293
251,2005,Youth admissions,Other community sentences,2263.0,British Columbia,4182963,0.5410040681689032
252,2006,Youth admissions,Pre-trial detention,8794.0,Ontario,12618444,0.6969163551385574
253,2006,Youth admissions,Secure custody,736.0,Ontario,12618444,0.058327318328630695
254,2006,Youth admissions,Custody and supervision (secure),731.0,Ontario,12618444,0.05793107295955032
255,2006,Youth admissions,Young Offenders Act (YOA) (secure),0.0,Ontario,12618444,0.0
256,2006,Youth admissions,Open custody,803.0,Ontario,12618444,0.06363700627430767
257,2006,Youth admissions,Custody and supervision (open),803.0,Ontario,12618444,0.06363700627430767
258,2006,Youth admissions,Young Offenders Act (YOA) (open),0.0,Ontario,12618444,0.0
259,2006,Youth admissions,Community Portion of Custody Supervision,1526.0,Ontario,12618444,0.1209340866433294
260,2006,Youth admissions,Intensive support and supervision,15.0,Ontario,12618444,0.0011887361072411146
261,2006,Youth admissions,Deferred custody and supervision,510.0,Ontario,12618444,0.0404170276461979
262,2006,Youth admissions,Supervised probation,7381.0,Ontario,12618444,0.5849374138364445
263,2006,Youth admissions,Other community sentences,2013.0,Ontario,12618444,0.15952838559175758
264,2006,Youth admissions,Pre-trial detention,1831.0,Manitoba,1181635,1.5495478722278877
265,2006,Youth admissions,Provincial director remand,208.0,Manitoba,1181635,0.1760272842290555
266,2006,Youth admissions,Secure custody,111.0,Manitoba,1181635,0.09393763725685172
267,2006,Youth admissions,Custody and supervision (secure),111.0,Manitoba,1181635,0.09393763725685172
268,2006,Youth admissions,Young Offenders Act (YOA) (secure),0.0,Manitoba,1181635,0.0
269,2006,Youth admissions,Open custody,267.0,Manitoba,1181635,0.22595810042864337
270,2006,Youth admissions,Custody and supervision (open),267.0,Manitoba,1181635,0.22595810042864337
271,2006,Youth admissions,Young Offenders Act (YOA) (open),0.0,Manitoba,1181635,0.0
272,2006,Youth admissions,Community Portion of Custody Supervision,285.0,Manitoba,1181635,0.24119123079461932
273,2006,Youth admissions,Deferred custody and supervision,148.0,Manitoba,1181635,0.12525018300913565
274,2006,Youth admissions,Supervised probation,913.0,Manitoba,1181635,0.7726582235631139
275,2006,Youth admissions,Other community sentences,801.0,Manitoba,1181635,0.6778743012859301
276,2006,Youth admissions,Secure custody,158.0,Saskatchewan,991228,0.1593982413733268
277,2006,Youth admissions,Custody and supervision (secure),158.0,Saskatchewan,991228,0.1593982413733268
278,2006,Youth admissions,Open custody,160.0,Saskatchewan,991228,0.16141594063121703
279,2006,Youth admissions,Custody and supervision (open),160.0,Saskatchewan,991228,0.16141594063121703
280,2006,Youth admissions,Community Portion of Custody Supervision,152.0,Saskatchewan,991228,0.1533451435996562
281,2006,Youth admissions,Deferred custody and supervision,187.0,Saskatchewan,991228,0.1886548806127349
282,2006,Youth admissions,Supervised probation,1301.0,Saskatchewan,991228,1.3125133672575835
283,2006,Youth admissions,Pre-trial detention,1915.0,Alberta,3396802,0.5637655653759036
284,2006,Youth admissions,Secure custody,182.0,Alberta,3396802,0.053579808302044105
285,2006,Youth admissions,Custody and supervision (secure),182.0,Alberta,3396802,0.053579808302044105
286,2006,Youth admissions,Open custody,75.0,Alberta,3396802,0.022079591333259933
287,2006,Youth admissions,Custody and supervision (open),75.0,Alberta,3396802,0.022079591333259933
288,2006,Youth admissions,Community Portion of Custody Supervision,467.0,Alberta,3396802,0.13748225536843184
289,2006,Youth admissions,Intensive support and supervision,19.0,Alberta,3396802,0.005593496471092516
290,2006,Youth admissions,Deferred custody and supervision,206.0,Alberta,3396802,0.06064527752868728
291,2006,Youth admissions,Supervised probation,1874.0,Alberta,3396802,0.5516953887803882
292,2006,Youth admissions,Other community sentences,1562.0,Alberta,3396802,0.45984428883402684
293,2006,Youth admissions,Pre-trial detention,1199.0,British Columbia,4227986,0.283586558706675
294,2006,Youth admissions,Secure custody,223.0,British Columbia,4227986,0.052743788650198936
295,2006,Youth admissions,Custody and supervision (secure),223.0,British Columbia,4227986,0.052743788650198936
296,2006,Youth admissions,Young Offenders Act (YOA) (secure),0.0,British Columbia,4227986,0.0
297,2006,Youth admissions,Open custody,207.0,British Columbia,4227986,0.048959480944355066
298,2006,Youth admissions,Custody and supervision (open),207.0,British Columbia,4227986,0.048959480944355066
299,2006,Youth admissions,Supervised probation,1405.0,British Columbia,4227986,0.33230952041941486
300,2006,Youth admissions,Other community sentences,2257.0,British Columbia,4227986,0.5338239057556008
301,2007,Youth admissions,Pre-trial detention,8789.0,Ontario,12726728,0.6905938431307717
302,2007,Youth admissions,Secure custody,696.0,Ontario,12726728,0.05468805493446548
303,2007,Youth admissions,Custody and supervision (secure),693.0,Ontario,12726728,0.054452330559747956
304,2007,Youth admissions,Young Offenders Act (YOA) (secure),0.0,Ontario,12726728,0.0
305,2007,Youth admissions,Open custody,795.0,Ontario,12726728,0.062466959300143766
306,2007,Youth admissions,Custody and supervision (open),795.0,Ontario,12726728,0.062466959300143766
307,2007,Youth admissions,Young Offenders Act (YOA) (open),0.0,Ontario,12726728,0.0
308,2007,Youth admissions,Community Portion of Custody Supervision,1467.0,Ontario,12726728,0.11526921923686906
309,2007,Youth admissions,Intensive support and supervision,16.0,Ontario,12726728,0.001257196665160126
310,2007,Youth admissions,Deferred custody and supervision,505.0,Ontario,12726728,0.039680269744116474
311,2007,Youth admissions,Supervised probation,7151.0,Ontario,12726728,0.5618883345350039
312,2007,Youth admissions,Other community sentences,1626.0,Ontario,12726728,0.12776261109689782
313,2007,Youth admissions,Pre-trial detention,1888.0,Manitoba,1186430,1.5913286076717548
314,2007,Youth admissions,Provincial director remand,204.0,Manitoba,1186430,0.1719444046424989
315,2007,Youth admissions,Secure custody,96.0,Manitoba,1186430,0.08091501394941125
316,2007,Youth admissions,Custody and supervision (secure),93.0,Manitoba,1186430,0.07838641976349216
