,REF_DATE,GEO,DGUID,Offences,Age_of_accused,Sex_of_accused,Charge_and_case,Type_of_decision,VECTOR,COORDINATE,VALUE
157,1991,Manitoba,2016A000246,Common assault,12 to 15 years,Males,Multiple-charge cases,Stayed or withdrawn,v60351942,8.11.2.2.4.6,2.0
158,1991,Manitoba,2016A000246,Common assault,12 to 15 years,Males,Related charges,Guilty,v60351950,8.11.2.2.5.3,51.0
159,1991,Manitoba,2016A000246,Common assault,12 to 15 years,Males,Related charges,Percentage guilty,v61311792,8.11.2.2.5.4,0.48
160,1991,Manitoba,2016A000246,Common assault,12 to 15 years,Males,Related charges,Acquitted,v60351952,8.11.2.2.5.5,1.0
161,1991,Manitoba,2016A000246,Common assault,12 to 15 years,Males,Related charges,Stayed or withdrawn,v60351954,8.11.2.2.5.6,54.0
162,1991,Manitoba,2016A000246,Common assault,12 to 15 years,Females,Single-charge cases,Guilty,v60351986,8.11.2.3.3.3,30.0
163,1991,Manitoba,2016A000246,Common assault,12 to 15 years,Females,Single-charge cases,Percentage guilty,v61311795,8.11.2.3.3.4,0.46
164,1991,Manitoba,2016A000246,Common assault,12 to 15 years,Females,Single-charge cases,Stayed or withdrawn,v60351990,8.11.2.3.3.6,35.0
165,1991,Manitoba,2016A000246,Common assault,12 to 15 years,Females,Multiple-charge cases,Guilty,v60351998,8.11.2.3.4.3,14.0
166,1991,Manitoba,2016A000246,Common assault,12 to 15 years,Females,Multiple-charge cases,Percentage guilty,v61311796,8.11.2.3.4.4,0.88
167,1991,Manitoba,2016A000246,Common assault,12 to 15 years,Females,Multiple-charge cases,Stayed or withdrawn,v60352002,8.11.2.3.4.6,2.0
168,1991,Manitoba,2016A000246,Common assault,12 to 15 years,Females,Related charges,Guilty,v60352010,8.11.2.3.5.3,34.0
169,1991,Manitoba,2016A000246,Common assault,12 to 15 years,Females,Related charges,Percentage guilty,v61311797,8.11.2.3.5.4,0.43
170,1991,Manitoba,2016A000246,Common assault,12 to 15 years,Females,Related charges,Stayed or withdrawn,v60352014,8.11.2.3.5.6,45.0
171,1991,Manitoba,2016A000246,Common assault,16 and 17 years,Males,Single-charge cases,Guilty,v60352106,8.11.3.2.3.3,25.0
172,1991,Manitoba,2016A000246,Common assault,16 and 17 years,Males,Single-charge cases,Percentage guilty,v61311810,8.11.3.2.3.4,0.4
173,1991,Manitoba,2016A000246,Common assault,16 and 17 years,Males,Single-charge cases,Acquitted,v60352108,8.11.3.2.3.5,1.0
174,1991,Manitoba,2016A000246,Common assault,16 and 17 years,Males,Single-charge cases,Stayed or withdrawn,v60352110,8.11.3.2.3.6,36.0
175,1991,Manitoba,2016A000246,Common assault,16 and 17 years,Males,Multiple-charge cases,Guilty,v60352118,8.11.3.2.4.3,26.0
176,1991,Manitoba,2016A000246,Common assault,16 and 17 years,Males,Multiple-charge cases,Percentage guilty,v61311811,8.11.3.2.4.4,0.79
177,1991,Manitoba,2016A000246,Common assault,16 and 17 years,Males,Multiple-charge cases,Acquitted,v60352120,8.11.3.2.4.5,1.0
178,1991,Manitoba,2016A000246,Common assault,16 and 17 years,Males,Multiple-charge cases,Stayed or withdrawn,v60352122,8.11.3.2.4.6,6.0
179,1991,Manitoba,2016A000246,Common assault,16 and 17 years,Males,Related charges,Guilty,v60352130,8.11.3.2.5.3,52.0
180,1991,Manitoba,2016A000246,Common assault,16 and 17 years,Males,Related charges,Percentage guilty,v61311812,8.11.3.2.5.4,0.43
181,1991,Manitoba,2016A000246,Common assault,16 and 17 years,Males,Related charges,Acquitted,v60352132,8.11.3.2.5.5,2.0
182,1991,Manitoba,2016A000246,Common assault,16 and 17 years,Males,Related charges,Stayed or withdrawn,v60352134,8.11.3.2.5.6,67.0
183,1991,Manitoba,2016A000246,Common assault,16 and 17 years,Females,Single-charge cases,Guilty,v60352166,8.11.3.3.3.3,16.0
184,1991,Manitoba,2016A000246,Common assault,16 and 17 years,Females,Single-charge cases,Percentage guilty,v61311815,8.11.3.3.3.4,0.48
185,1991,Manitoba,2016A000246,Common assault,16 and 17 years,Females,Single-charge cases,Stayed or withdrawn,v60352170,8.11.3.3.3.6,17.0
186,1991,Manitoba,2016A000246,Common assault,16 and 17 years,Females,Multiple-charge cases,Guilty,v60352178,8.11.3.3.4.3,9.0
187,1991,Manitoba,2016A000246,Common assault,16 and 17 years,Females,Multiple-charge cases,Percentage guilty,v61311816,8.11.3.3.4.4,0.69
